1	0	0	0.9819998814	0.015284997	0.0049457205	1	0	0
0	0	1	0.0015036894	0.0853072086	0.908125541	0	0	1
0	0	1	0.0189079819	0.9138368594	0.0802279821	0	1	0
0	0	1	0.0142468666	0.8596961411	0.135812639	0	1	0
1	0	0	0.9792630082	0.0166610178	0.0047508253	1	0	0
0	0	1	0.016817754	0.8946307388	0.0985134923	0	1	0
1	0	0	0.9807804925	0.0156358405	0.0046450717	1	0	0
0	0	1	0.0210935679	0.9270528659	0.0727141765	0	1	0
0	0	1	0.0195582671	0.9171245248	0.0815888176	0	1	0
0	0	1	0.0197519772	0.9221006144	0.0675268405	0	1	0
0	0	1	0.0207524491	0.9264836641	0.0691187907	0	1	0
1	0	0	0.9783503438	0.0170739935	0.0046737336	1	0	0
1	0	0	0.9767646281	0.0185873416	0.0050963853	1	0	0
0	0	1	0.0208063326	0.926240646	0.07088405	0	1	0
0	0	1	0.0207862976	0.9265153656	0.0694736889	0	1	0
1	0	0	0.9816246016	0.0153072374	0.0047779403	1	0	0
1	0	0	0.9820057631	0.0152148854	0.004890503	1	0	0
1	0	0	0.9807336875	0.0157617069	0.0047188974	1	0	0
0	1	0	0.0208593934	0.9261250294	0.0688815093	0	1	0
0	0	1	0.0189955714	0.9124266239	0.0873463774	0	1	0
0	1	0	0.0209121985	0.9266934435	0.0705742664	0	1	0
1	0	0	0.9812447268	0.0156490425	0.0048685919	1	0	0
0	0	1	0.0192263384	0.9145460373	0.0843704116	0	1	0
0	1	0	0.0204125431	0.9257293699	0.0654109241	0	1	0
0	1	0	0.0209118132	0.9265539856	0.0702281327	0	1	0
1	0	0	0.981197372	0.0155020908	0.0047303019	1	0	0
0	1	0	0.020359705	0.9250693091	0.0676019727	0	1	0
0	1	0	0.0208403118	0.9264063012	0.0694496665	0	1	0
0	1	0	0.0204982582	0.9254995885	0.0653720874	0	1	0
0	1	0	0.0208649265	0.9266691073	0.0702341553	0	1	0
								
1	0	0	0.9818030453	0.0162928609	0.0061173213	1	0	0
0	1	0	0.0231379448	0.9524488241	0.0454165289	0	1	0
0	0	1	0.0014876091	0.0270303318	0.9749294562	0	0	1
0	1	0	0.0228534409	0.9538210651	0.0444758532	0	1	0
1	0	0	0.9815081684	0.017473316	0.0057089826	1	0	0
0	0	1	0.0014792788	0.0285483799	0.9735620328	0	0	1
0	0	1	0.0014971654	0.0263887479	0.9754937993	0	0	1
0	1	0	0.018733098	0.9232160208	0.0744110227	0	1	0
1	0	0	0.9812314918	0.0170857281	0.006013757	1	0	0
0	1	0	0.0231033675	0.9523277641	0.0457029298	0	1	0
0	1	0	0.001846327	0.052166364	0.9510580953	0	0	1
0	1	0	0.0231887511	0.9524769428	0.0452713056	0	1	0
0	1	0	0.0230993893	0.9513232091	0.0467562313	0	1	0
0	1	0	0.0239728487	0.951207419	0.0446846812	0	1	0
0	1	0	0.0231689034	0.9512983522	0.0467808846	0	1	0
0	0	1	0.0040524673	0.2371905962	0.7687112524	0	0	1
0	0	1	0.0194526505	0.9134363658	0.0843465338	0	1	0
0	1	0	0.0232696941	0.951541704	0.0462203081	0	1	0
0	0	1	0.0014929304	0.026668637	0.9752473639	0	0	1
1	0	0	0.9807615949	0.0176140472	0.0059919499	1	0	0
0	1	0	0.0240596963	0.9499827088	0.0459330983	0	1	0
0	0	1	0.0017079505	0.0410942505	0.9616251474	0	0	1
0	0	1	0.0022229073	0.0660367388	0.9375357335	0	0	1
1	0	0	0.9815519355	0.0166865802	0.0060484981	1	0	0
0	0	1	0.0014783983	0.0276875917	0.974351256	0	0	1
1	0	0	0.9799989116	0.0183880233	0.0059966053	1	0	0
0	0	1	0.0158330464	0.8941835581	0.1035407525	0	1	0
0	0	1	0.0019469276	0.0498679085	0.9531434969	0	0	1
1	0	0	0.9805387966	0.0179675243	0.005936667	1	0	0
0	0	1	0.0014985136	0.0268682245	0.9750467989	0	0	1
								
0	0	1	0.0051646361	0.2694176054	0.7321090983	0	0	1
1	0	0	0.9884519034	0.0134247178	0.0010802608	1	0	0
0	1	0	0.0138326994	0.9349887413	0.0573310419	0	1	0
1	0	0	0.9893703443	0.0124555253	0.0010477977	1	0	0
1	0	0	0.9900487188	0.01165317	0.001022121	1	0	0
0	1	0	0.0128380414	0.9384994859	0.0591658136	0	1	0
0	0	1	0.0044909152	0.1726144681	0.8295279595	0	0	1
0	1	0	0.0130074114	0.9379173363	0.0588509539	0	1	0
1	0	0	0.9884295844	0.0134896985	0.0010796675	1	0	0
0	0	1	0.0036756039	0.0842482458	0.9176375655	0	0	1
0	1	0	0.0143423319	0.9328858246	0.0565319151	0	1	0
0	0	1	0.0036763202	0.0842737396	0.9176474862	0	0	1
0	0	1	0.0036747239	0.0842628948	0.9176417108	0	0	1
0	1	0	0.0127976295	0.9386632916	0.0592404469	0	1	0
0	1	0	0.0128036388	0.9386212135	0.0592581433	0	1	0
1	0	0	0.989345258	0.0124593142	0.0010475288	1	0	0
1	0	0	0.9895100304	0.0122773618	0.0010412361	1	0	0
1	0	0	0.9885511822	0.0133706062	0.0010759784	1	0	0
1	0	0	0.9868020075	0.0153398161	0.0011321573	1	0	0
1	0	0	0.9885996618	0.0133540993	0.001076167	1	0	0
0	0	1	0.0036761082	0.0842451148	0.9176374443	0	0	1
0	0	1	0.0085699353	0.7502402953	0.2475202567	0	1	0
0	0	1	0.0036762241	0.0842727167	0.9176158459	0	0	1
0	1	0	0.0129736504	0.9380012541	0.0589304247	0	1	0
1	0	0	0.9883934425	0.0135336713	0.0010814156	1	0	0
0	1	0	0.0129965531	0.9378804445	0.0589045561	0	1	0
1	0	0	0.9879538224	0.0139194469	0.0011040099	1	0	0
0	1	0	0.0129001864	0.9382616545	0.0590539138	0	1	0
0	1	0	0.0129499954	0.9380872479	0.0589746012	0	1	0
0	1	0	0.0078659035	0.6734328802	0.3236420306	0	1	0
								
0	0	1	0.0042586882	0.0632262766	0.9386140601	0	0	1
0	0	1	0.0042578497	0.0632475445	0.9386354468	0	0	1
1	0	0	0.9784922642	0.0187781069	0.0038333584	1	0	0
1	0	0	0.980630418	0.0172758009	0.0036437235	1	0	0
0	1	0	0.0175605764	0.8844378185	0.1149604886	0	1	0
